off_Rk,School,G,Pts,pass_cmp,pass_Att,cmp_Pct,pass_Yds,pass_TD,rush_Att,rush_Yds,rush_Avg,rush_TD,Plays,Yds,Avg_Yds,1st_down_Pass,1st_down_Rush,1st_down_Pen,1st_down_Tot,pen_No.,pen_Yds,Fum,Int,TO_Tot,year
14,Georgia,14,37.9,17.3,25.5,67.8,226.9,2.4,40.4,239.2,5.9,2.1,65.9,466.1,7.1,10.1,12.1,1.5,23.6,5.5,49.6,0.6,0.4,1.0,2018
15,Washington State,13,37.5,36.8,52.1,70.6,373.5,3.0,21.4,78.9,3.7,1.8,73.5,452.5,6.2,17.8,4.5,1.9,24.5,6.6,65.0,0.3,0.8,1.1,2018
16,Appalachian State,13,37.3,15.1,24.5,61.4,190.6,2.1,41.5,240.4,5.8,2.4,66.1,431.0,6.5,8.6,10.1,1.7,20.4,6.3,57.5,0.4,0.9,1.3,2018
17,Texas Tech,12,37.3,30.1,44.6,67.5,352.6,2.3,36.4,131.8,3.6,2.2,81.0,484.3,6.0,16.7,7.9,1.9,26.6,7.9,73.8,0.6,1.3,1.8,2018
18,Missouri,13,36.6,21.6,34.7,62.3,279.4,2.2,42.5,202.4,4.8,2.1,77.2,481.8,6.2,12.3,9.9,2.4,24.6,6.9,61.5,0.5,0.6,1.2,2018
19,Texas A&M,13,36.0,19.5,34.0,57.5,252.6,1.9,41.2,219.0,5.3,2.2,75.2,471.6,6.3,11.8,11.6,2.4,25.8,6.2,50.9,0.6,0.7,1.3,2018
20,Boise State,13,35.4,23.8,35.4,67.4,292.0,2.4,39.9,167.5,4.2,1.8,75.3,459.5,6.1,13.0,9.8,1.3,24.2,5.8,53.8,0.4,0.6,1.0,2018
21,Michigan,13,35.2,17.2,26.8,64.1,215.7,1.8,42.2,203.8,4.8,2.0,69.0,419.5,6.1,9.5,10.5,1.6,21.5,6.8,63.5,0.2,0.7,0.9,2018
22,Florida,13,35.0,16.7,28.0,59.6,213.5,2.2,40.3,213.3,5.3,1.8,68.3,426.8,6.2,9.5,11.1,1.3,21.8,7.3,62.7,0.6,0.5,1.1,2018
23,Cincinnati,13,34.9,17.5,28.8,60.7,219.0,1.7,46.2,239.5,5.2,2.8,74.9,458.5,6.1,9.9,12.4,1.2,23.5,8.2,73.7,1.0,0.5,1.5,2018
24,Temple,13,34.9,19.4,34.0,57.0,253.6,1.5,37.5,157.8,4.2,2.2,71.5,411.5,5.8,11.8,8.0,1.2,21.1,7.3,70.1,0.5,1.5,1.9,2018
25,Oregon,13,34.8,18.9,32.1,59.0,247.8,2.2,40.5,180.8,4.5,2.2,72.5,428.7,5.9,10.8,9.2,1.6,21.6,4.6,43.7,0.7,0.6,1.3,2018
26,Buffalo,14,34.6,16.4,29.9,54.9,225.4,2.0,41.5,189.6,4.6,2.6,71.4,414.9,5.8,9.1,9.7,3.2,22.1,4.9,40.9,0.5,0.9,1.4,2018
27,Florida International,13,34.6,19.3,29.5,65.5,245.7,2.1,36.9,176.6,4.8,2.1,66.4,422.3,6.4,11.0,8.3,2.0,21.3,4.9,43.8,0.4,0.6,1.0,2018
28,Fresno State,14,34.6,21.5,31.4,68.4,267.1,1.9,35.4,154.9,4.4,2.2,66.8,422.1,6.3,11.4,7.5,1.3,20.1,5.1,43.8,0.6,0.4,1.0,2018
29,North Texas,13,34.6,24.7,38.8,63.7,306.8,2.2,35.5,153.8,4.3,1.9,74.3,460.5,6.2,14.0,8.3,2.4,24.7,4.4,49.5,0.6,0.7,1.3,2018
30,Ole Miss,12,33.9,23.5,36.8,63.9,346.4,1.8,34.8,164.9,4.7,2.0,71.6,511.3,7.1,13.6,8.8,1.8,24.1,7.3,66.8,0.4,0.8,1.2,2018
31,North Carolina State,13,33.8,25.7,38.2,67.3,313.2,1.9,37.2,143.1,3.8,2.1,75.4,456.2,6.1,14.2,7.7,2.3,24.2,4.6,44.7,0.5,0.8,1.4,2018
32,Penn State,13,33.8,15.8,29.2,54.2,218.2,1.6,40.0,204.8,5.1,2.6,69.2,423.0,6.1,9.0,10.3,2.2,21.5,4.7,42.4,1.0,0.6,1.6,2018
33,Georgia Tech,13,33.6,4.3,9.7,44.4,83.8,0.5,57.3,325.1,5.7,3.5,67.0,408.8,6.1,3.0,16.8,1.4,21.2,3.8,36.7,1.0,0.3,1.3,2018
34,Liberty,12,33.3,20.4,37.3,54.7,261.5,1.8,40.6,161.4,4.0,2.5,77.9,422.9,5.4,12.8,8.4,1.9,23.0,4.3,38.2,0.5,1.5,2.0,2018
35,Army,13,32.8,4.0,7.5,53.1,80.1,0.5,63.4,312.5,4.9,3.6,70.9,392.5,5.5,2.8,17.7,1.3,21.8,4.8,48.2,0.4,0.2,0.6,2018
36,Massachusetts,12,32.8,21.8,34.3,63.7,298.0,2.3,34.0,139.8,4.1,1.8,68.3,437.8,6.4,12.9,7.3,1.4,21.7,5.7,48.5,1.2,0.8,2.0,2018
37,Wake Forest,13,32.8,19.1,34.2,55.9,235.2,1.9,48.2,216.7,4.5,1.6,82.3,451.8,5.5,10.9,12.2,1.6,24.7,4.2,42.2,0.5,1.0,1.5,2018
38,LSU,13,32.4,17.2,29.8,57.9,228.5,1.3,43.0,173.6,4.0,2.2,72.8,402.1,5.5,10.2,9.9,2.6,22.7,6.4,61.1,0.6,0.4,1.0,2018
39,Boston College,12,32.0,16.3,28.1,57.9,215.3,2.1,46.4,189.2,4.1,1.9,74.5,404.4,5.4,8.9,9.5,1.0,19.4,6.3,49.2,0.8,0.8,1.6,2018
40,Western Michigan,13,32.0,18.6,30.4,61.3,238.5,1.5,43.6,199.8,4.6,2.5,74.0,438.4,5.9,10.5,9.9,2.4,22.8,5.9,53.8,0.8,0.7,1.5,2018
41,Louisiana,14,31.9,15.7,24.9,63.2,205.6,1.9,39.4,218.8,5.5,2.2,64.3,424.4,6.6,8.4,10.0,1.3,19.7,4.9,43.2,0.2,1.0,1.2,2018
42,Notre Dame,13,31.4,20.6,32.2,64.1,257.5,1.8,41.1,182.9,4.5,2.1,73.2,440.4,6.0,12.0,9.8,1.6,23.4,5.2,45.8,0.3,1.0,1.3,2018
43,Arizona,12,31.3,18.0,32.4,55.5,255.3,2.4,41.1,202.4,4.9,1.2,73.5,457.7,6.2,10.8,9.6,3.2,23.6,7.9,75.7,0.8,0.8,1.6,2018
44,Iowa,13,31.2,18.6,31.4,59.3,226.6,2.1,37.5,148.4,4.0,1.5,68.9,375.0,5.4,10.6,7.6,1.8,20.1,4.8,42.5,0.5,0.8,1.4,2018
45,Florida Atlantic,12,31.1,18.8,30.3,62.1,237.0,1.2,47.2,241.8,5.1,2.9,77.5,478.8,6.2,9.6,13.0,1.4,23.9,6.6,62.8,0.5,1.3,1.8,2018
46,Nevada,13,31.1,22.7,37.9,59.8,278.8,1.9,33.4,152.2,4.6,1.8,71.3,431.0,6.0,11.8,7.8,1.2,20.9,5.9,56.8,0.8,1.3,2.2,2018
47,Texas,14,31.1,22.1,34.0,65.1,258.2,2.0,40.3,153.8,3.8,1.7,74.3,412.0,5.5,12.1,9.2,1.9,23.2,7.4,67.0,0.4,0.4,0.8,2018
48,Auburn,13,30.9,17.9,29.3,61.2,222.5,1.6,39.4,167.5,4.3,1.9,68.7,389.9,5.7,8.8,9.9,1.7,20.4,6.4,56.7,0.6,0.4,1.0,2018
49,Hawaii,14,30.8,22.9,38.9,58.7,310.3,3.1,29.7,109.9,3.7,0.8,68.6,420.1,6.1,13.0,6.7,1.9,21.6,5.9,52.6,0.6,0.9,1.5,2018
50,Old Dominion,12,30.8,24.4,40.0,61.0,297.0,1.8,35.4,130.8,3.7,2.0,75.4,427.8,5.7,13.0,7.4,2.9,23.3,5.2,49.6,0.7,1.0,1.7,2018
51,Troy,13,30.7,19.1,28.6,66.7,215.3,1.9,37.2,173.8,4.7,1.6,65.8,389.2,5.9,9.2,8.2,1.5,19.0,7.1,56.0,1.0,0.6,1.6,2018
52,Georgia Southern,13,30.5,5.4,9.0,59.8,79.0,0.8,49.1,266.8,5.4,2.7,58.1,345.8,6.0,2.9,13.0,1.0,16.8,4.7,40.4,0.4,0.0,0.4,2018
