off_Rk,School,G,Pts,pass_cmp,pass_Att,cmp_Pct,pass_Yds,pass_TD,rush_Att,rush_Yds,rush_Avg,rush_TD,Plays,Yds,Avg_Yds,1st_down_Pass,1st_down_Rush,1st_down_Pen,1st_down_Tot,pen_No.,pen_Yds,Fum,Int,TO_Tot,year
10,California,12,38.3,27.3,44.5,61.4,345.3,3.1,36.6,149.0,4.1,1.8,81.1,494.3,6.1,15.6,8.3,2.7,26.5,8.9,82.6,0.8,0.8,1.7,2014
11,Georgia Tech,14,37.9,7.6,14.5,52.2,134.4,1.4,56.4,342.1,6.1,3.4,70.9,476.5,6.7,5.6,18.5,0.9,25.0,4.9,41.1,0.9,0.4,1.3,2014
12,Nebraska,13,37.8,14.6,27.6,52.9,212.1,1.8,45.2,240.2,5.3,2.7,72.8,452.3,6.2,8.8,11.5,2.0,22.3,5.8,50.4,1.0,0.9,1.9,2014
13,Louisiana Tech,14,37.4,19.3,33.4,57.8,252.2,2.1,35.0,148.6,4.2,2.3,68.4,400.8,5.9,10.4,7.6,2.1,20.0,4.9,39.6,0.9,0.9,1.9,2014
14,Brigham Young,13,37.1,22.2,37.2,59.8,278.7,2.5,43.6,181.8,4.2,2.2,80.8,460.5,5.7,12.3,11.0,1.7,25.0,8.5,80.9,1.2,0.9,2.1,2014
15,Alabama,14,36.9,20.7,32.2,64.3,277.9,2.3,40.5,206.6,5.1,2.5,72.7,484.5,6.7,12.1,11.0,1.1,24.3,4.9,40.1,0.9,0.7,1.6,2014
16,Arizona State,13,36.9,21.6,35.9,60.2,273.5,2.6,39.1,168.8,4.3,1.5,75.0,442.3,5.9,12.8,8.5,1.9,23.2,4.5,32.4,0.3,0.7,1.0,2014
17,Mississippi State,13,36.9,20.1,32.5,61.7,280.7,2.4,44.5,233.1,5.2,2.2,77.0,513.8,6.7,12.2,12.3,1.2,25.7,5.2,39.5,0.8,0.9,1.8,2014
18,Arkansas State,13,36.7,21.2,34.5,61.6,260.1,1.9,44.3,216.4,4.9,2.7,78.8,476.5,6.0,10.7,11.2,1.5,23.4,8.0,69.6,1.1,0.6,1.7,2014
19,Toledo,13,36.6,18.7,30.5,61.2,234.2,1.8,44.3,256.4,5.8,2.7,74.8,490.5,6.6,10.5,12.5,1.7,24.7,6.0,51.5,0.6,0.7,1.3,2014
20,Oklahoma,13,36.4,16.2,29.7,54.4,203.5,1.3,42.8,261.2,6.1,3.1,72.5,464.7,6.4,9.1,12.4,1.1,22.5,5.4,49.8,0.5,1.3,1.8,2014
21,Memphis,13,36.2,20.2,32.2,62.7,236.6,1.8,45.7,190.5,4.2,2.4,77.8,427.1,5.5,11.5,9.1,2.1,22.6,6.2,58.8,0.8,0.7,1.5,2014
22,East Carolina,13,35.8,30.9,49.0,63.1,371.9,2.4,33.3,161.1,4.8,2.2,82.3,533.0,6.5,18.3,8.2,2.5,29.1,8.4,77.2,0.9,0.8,1.8,2014
23,Kansas State,13,35.8,20.8,31.9,65.3,287.4,1.8,36.6,134.2,3.7,2.3,68.5,421.6,6.2,12.5,8.0,2.2,22.6,4.4,39.3,0.4,0.6,1.0,2014
24,USC,13,35.8,24.5,35.4,69.1,296.6,3.0,40.2,161.0,4.0,1.4,75.6,457.6,6.1,12.7,9.4,1.6,23.7,8.8,78.7,0.5,0.4,0.9,2014
25,Auburn,13,35.5,16.0,25.5,62.7,229.5,1.8,46.7,255.5,5.5,2.5,72.2,485.0,6.7,10.2,13.2,0.8,24.2,7.1,68.9,1.0,0.5,1.5,2014
26,Georgia Southern,10,35.2,7.8,13.8,56.5,107.8,0.4,52.8,358.7,6.8,4.2,66.6,466.5,7.0,4.0,16.4,0.7,21.1,4.7,46.0,0.8,0.3,1.1,2014
27,Texas A&M,13,35.2,25.5,39.5,64.6,305.5,3.0,32.4,149.9,4.6,1.5,71.9,455.4,6.3,13.8,8.2,1.2,23.1,5.2,50.6,0.4,1.2,1.5,2014
28,Appalachian State,10,34.8,16.6,26.9,61.7,213.6,1.8,46.7,252.5,5.4,2.6,73.6,466.1,6.3,9.1,12.0,2.8,23.9,6.9,56.9,1.0,0.8,1.8,2014
29,Wisconsin,14,34.6,12.6,23.0,55.0,148.7,1.1,46.3,320.1,6.9,3.3,69.3,468.9,6.8,7.4,13.5,1.1,22.0,4.6,43.4,0.7,1.1,1.9,2014
30,Arizona,14,34.5,22.9,40.3,56.7,281.8,2.1,41.1,181.9,4.4,1.9,81.4,463.7,5.7,12.6,9.1,3.0,24.7,6.6,62.9,0.6,0.7,1.3,2014
31,Cincinnati,13,34.0,22.6,37.8,59.9,303.6,2.7,34.9,156.5,4.5,1.4,72.7,460.2,6.3,14.2,7.9,1.7,23.8,4.5,41.7,0.6,1.1,1.7,2014
32,Colorado State,13,33.9,22.0,34.4,64.0,321.6,2.6,33.5,159.3,4.8,1.8,67.8,480.9,7.1,13.5,8.1,1.4,23.0,5.5,54.7,0.8,0.5,1.3,2014
33,Texas State,12,33.8,20.8,31.8,65.4,225.9,1.8,44.9,238.5,5.3,2.4,76.8,464.4,6.1,10.3,11.8,1.1,23.2,6.3,59.0,0.4,0.6,1.0,2014
34,Western Michigan,13,33.8,19.5,28.6,68.0,267.3,2.0,38.7,170.8,4.4,2.2,67.3,438.2,6.5,10.6,9.0,1.1,20.7,5.3,51.2,0.8,0.8,1.5,2014
35,Florida State,14,33.7,23.6,36.9,64.0,303.3,1.9,32.2,138.1,4.3,1.9,69.1,441.4,6.4,13.4,7.9,1.7,23.0,6.2,47.7,0.9,1.4,2.3,2014
36,UCLA,13,33.5,22.9,33.5,68.5,258.3,1.8,42.8,209.5,4.9,2.0,76.3,467.8,6.1,10.9,11.1,1.4,23.4,8.0,75.3,0.8,0.5,1.2,2014
37,West Virginia,13,33.5,26.2,41.1,63.7,317.0,2.0,43.3,182.8,4.2,1.4,84.4,499.8,5.9,13.5,9.6,2.8,25.9,6.5,58.2,1.5,0.8,2.2,2014
38,North Carolina,13,33.2,24.2,39.2,61.9,278.0,2.2,38.2,151.8,4.0,2.0,77.3,429.8,5.6,12.1,9.8,2.0,23.8,7.6,63.2,0.8,1.0,1.8,2014
39,UAB,12,33.2,16.8,27.2,61.7,219.3,1.3,51.2,212.5,4.2,2.3,78.3,431.8,5.5,8.5,12.6,1.1,22.2,6.4,56.2,0.8,1.0,1.8,2014
40,Notre Dame,13,32.8,21.3,35.6,59.8,285.5,2.3,37.2,159.5,4.3,1.8,72.8,444.9,6.1,12.9,9.0,1.8,23.8,4.5,37.5,0.9,1.1,2.0,2014
41,South Carolina,13,32.6,21.3,36.0,59.2,282.4,2.2,36.8,161.0,4.4,1.8,72.8,443.4,6.1,11.5,10.1,1.8,23.5,5.4,46.6,0.8,0.8,1.6,2014
42,Duke,13,32.4,20.6,36.2,56.9,216.5,1.8,37.8,181.8,4.8,1.8,74.1,398.3,5.4,10.0,10.2,1.8,22.0,4.9,38.7,0.5,0.6,1.2,2014
43,Buffalo,11,32.3,21.3,33.3,63.9,259.1,2.9,40.3,178.6,4.4,1.5,73.5,437.7,6.0,11.1,8.8,2.3,22.2,5.3,53.0,0.5,1.1,1.6,2014
44,Arkansas,13,31.9,15.3,27.6,55.4,188.0,1.6,42.8,218.0,5.1,2.4,70.5,406.0,5.8,9.2,11.2,1.7,22.2,5.2,44.7,0.8,0.5,1.3,2014
45,Old Dominion,11,31.9,23.7,38.0,62.4,293.5,2.5,29.9,145.9,4.9,1.7,67.9,439.5,6.5,12.9,7.5,1.8,22.2,3.6,37.3,0.4,1.3,1.6,2014
46,Navy,13,31.8,4.8,10.0,47.7,81.4,0.7,55.9,338.1,6.0,3.5,65.9,419.5,6.4,2.8,17.1,0.8,20.7,2.6,27.2,1.3,0.4,1.7,2014
47,Pitt,13,31.8,14.5,23.7,61.0,185.9,1.3,46.8,249.4,5.3,2.7,70.5,435.3,6.2,8.2,14.0,1.5,23.7,6.4,53.4,0.9,0.5,1.5,2014
48,Washington State,12,31.8,42.5,64.3,66.1,477.7,3.8,20.3,39.8,2.0,0.4,84.5,517.5,6.1,20.9,3.8,2.5,27.2,7.8,67.7,0.6,1.5,2.1,2014
49,Middle Tennessee State,12,31.6,18.7,28.6,65.3,217.5,1.4,44.2,213.8,4.8,2.6,72.8,431.3,5.9,9.2,11.1,0.9,21.2,6.5,57.5,0.9,1.1,2.0,2014
50,Air Force,13,31.5,9.0,15.8,56.8,145.6,1.2,61.2,273.1,4.5,2.6,77.1,418.7,5.4,5.7,15.2,1.2,22.1,3.5,35.4,1.0,0.3,1.3,2014
51,Northern Illinois,14,31.5,16.4,27.5,59.5,192.1,1.4,49.1,249.1,5.1,2.6,76.6,441.2,5.8,8.6,13.1,1.1,22.8,5.9,56.7,0.6,0.2,0.9,2014
52,Utah,13,31.3,17.6,29.1,60.6,197.7,1.5,43.5,190.4,4.4,1.6,72.5,388.1,5.3,8.6,9.7,1.2,19.5,5.9,54.0,0.6,0.6,1.2,2014
53,Louisville,13,31.2,18.2,32.9,55.4,252.0,1.6,39.3,142.7,3.6,2.2,72.2,394.7,5.5,10.2,8.9,1.2,20.4,6.9,49.3,1.2,0.8,2.0,2014
54,Clemson,13,30.8,22.5,34.7,64.7,261.8,1.8,41.5,146.5,3.5,1.5,76.2,408.3,5.4,11.2,8.1,1.3,20.5,4.0,35.1,0.5,0.9,1.4,2014
55,Texas Tech,12,30.5,27.7,46.6,59.4,351.1,3.3,29.6,153.0,5.2,0.7,76.2,504.1,6.6,14.8,7.9,1.9,24.7,9.3,89.2,0.8,1.5,2.3,2014
56,Florida,12,30.3,14.1,27.0,52.2,179.9,1.5,43.1,187.7,4.4,1.8,70.1,367.6,5.2,7.2,9.3,1.1,17.5,6.7,59.2,0.8,1.2,2.0,2014
57,North Carolina State,13,30.2,17.2,29.3,58.8,204.0,1.8,39.1,204.5,5.2,2.0,68.4,408.5,6.0,9.4,10.8,1.5,21.7,4.8,42.9,0.7,0.5,1.2,2014
58,Washington,14,30.2,18.2,28.6,63.8,200.1,1.4,43.4,188.6,4.3,1.6,71.9,388.6,5.4,8.6,9.9,1.4,20.0,7.0,61.8,0.8,0.4,1.2,2014
59,Bowling Green State,14,30.0,22.6,39.1,58.0,259.9,1.2,39.7,173.0,4.4,2.1,78.8,432.9,5.5,11.3,8.6,2.4,22.2,7.9,62.3,0.7,0.9,1.6,2014
60,Houston,13,29.8,20.9,34.6,60.4,230.2,1.4,38.1,183.9,4.8,2.2,72.7,414.2,5.7,9.5,10.0,2.5,22.0,6.5,59.3,0.5,1.2,1.7,2014
61,Louisiana,13,29.5,18.3,28.5,64.3,191.5,1.2,42.2,225.9,5.4,2.4,70.6,417.4,5.9,8.6,12.5,0.7,21.8,5.0,40.7,0.4,0.7,1.1,2014
62,Kentucky,12,29.2,19.0,33.8,56.3,231.2,1.2,37.0,153.2,4.1,1.8,70.8,384.3,5.4,9.0,8.8,1.5,19.3,5.5,50.3,0.3,0.9,1.3,2014
63,Miami (FL),13,29.2,17.5,30.1,58.1,249.9,2.0,34.3,180.4,5.3,1.5,64.4,430.3,6.7,9.8,8.8,1.3,19.8,7.2,63.6,0.9,0.9,1.8,2014
64,Nevada,13,29.2,18.4,31.2,58.9,192.2,1.4,43.1,205.5,4.8,2.1,74.3,397.6,5.4,9.4,10.5,1.2,21.1,5.6,49.7,0.4,0.8,1.2,2014
65,Tennessee,13,28.9,21.6,34.8,62.0,224.2,1.8,40.3,146.4,3.6,1.5,75.2,370.5,4.9,10.7,9.1,1.5,21.3,4.2,34.2,0.6,1.1,1.7,2014
66,Rice,13,28.8,15.7,27.1,58.0,231.5,1.9,43.9,167.8,3.8,1.7,71.0,399.2,5.6,9.2,9.0,1.2,19.4,5.9,53.5,0.3,0.6,0.9,2014
67,Colorado,12,28.5,29.0,45.4,63.9,284.1,2.4,37.6,155.0,4.1,1.1,83.0,439.1,5.3,13.3,8.4,3.0,24.7,7.2,67.8,0.5,1.3,1.8,2014
68,Maryland,13,28.5,17.5,32.2,54.5,220.2,1.5,32.9,121.8,3.7,1.6,65.1,342.1,5.3,9.2,6.8,1.5,17.5,5.9,52.1,0.6,1.1,1.7,2014
69,Minnesota,13,28.4,9.8,19.5,50.0,141.8,0.9,46.1,215.5,4.7,2.5,65.6,357.3,5.4,5.8,11.4,1.1,18.3,5.3,46.5,0.8,0.7,1.5,2014
70,Ole Miss,13,28.3,19.8,32.9,60.3,263.6,1.8,36.6,155.5,4.2,1.6,69.5,419.1,6.0,11.5,7.5,1.5,20.4,5.3,42.2,0.8,1.2,1.9,2014
71,Iowa,13,28.2,20.4,33.6,60.6,237.0,1.6,39.5,163.1,4.1,1.7,73.2,400.1,5.5,10.0,9.5,2.1,21.5,3.5,29.5,1.2,0.5,1.7,2014
72,UCF,13,28.1,17.9,32.0,56.0,235.3,1.8,40.5,128.3,3.2,1.5,72.5,363.6,5.0,9.6,8.5,2.4,20.5,5.8,54.3,1.1,1.2,2.2,2014
73,Missouri,14,27.8,15.8,29.6,53.3,189.1,1.8,38.5,177.9,4.6,1.2,68.1,367.0,5.4,8.7,9.2,1.4,19.2,7.3,58.2,0.2,0.9,1.1,2014
74,Ball State,12,27.7,19.3,34.1,56.7,215.8,1.6,37.3,153.4,4.1,1.3,71.4,369.3,5.2,10.4,8.0,1.9,20.3,4.2,40.8,0.7,0.6,1.3,2014
75,New Mexico,12,27.7,6.3,12.4,51.0,88.3,0.6,48.6,310.4,6.4,2.8,61.0,398.7,6.5,3.4,12.8,0.8,17.0,4.4,43.3,1.0,0.5,1.5,2014
76,LSU,13,27.6,10.6,21.2,50.2,162.9,1.3,47.8,224.5,4.7,1.9,69.0,387.5,5.6,6.5,12.2,1.5,20.2,5.5,45.8,0.6,0.7,1.3,2014
77,Oklahoma State,13,27.6,17.1,30.8,55.4,242.2,1.5,38.9,136.6,3.5,1.4,69.8,378.8,5.4,9.8,7.1,2.0,18.9,6.1,53.8,0.4,1.3,1.7,2014
78,Massachusetts,12,27.3,22.4,41.0,54.7,311.8,2.3,32.3,109.3,3.4,1.3,73.3,421.0,5.7,12.9,6.6,2.7,22.2,6.1,51.4,0.8,1.1,1.9,2014
79,North Texas,12,27.2,15.1,27.6,54.7,172.8,1.1,39.3,152.9,3.9,1.8,66.9,325.7,4.9,7.2,8.8,1.8,17.8,5.3,52.5,0.8,1.1,1.8,2014
80,Stanford,13,27.2,19.1,29.3,65.1,229.8,1.5,36.7,158.8,4.3,1.7,66.0,388.6,5.9,11.5,7.3,1.7,20.5,5.8,48.5,1.0,0.6,1.6,2014
81,Central Michigan,13,26.9,18.7,29.4,63.6,242.8,2.1,38.8,155.2,4.0,1.5,68.2,398.1,5.8,11.4,9.0,1.7,22.2,5.4,46.5,1.1,1.0,2.1,2014
82,Utah State,14,26.9,17.4,27.8,62.5,198.7,1.4,36.6,180.1,4.9,1.6,64.4,378.8,5.9,7.1,8.6,1.7,17.4,7.2,65.6,0.7,0.8,1.5,2014
83,Rutgers,13,26.7,15.3,27.5,55.7,227.4,1.7,37.6,162.6,4.3,1.6,65.1,390.0,6.0,8.8,9.0,0.8,18.5,4.7,41.9,0.5,1.0,1.5,2014
84,UTEP,13,26.6,12.2,22.1,55.4,142.9,0.9,44.0,208.5,4.7,2.1,66.1,351.4,5.3,5.5,10.6,1.2,17.4,5.0,39.8,0.5,0.5,0.9,2014
85,Fresno State,14,26.5,21.4,37.9,56.4,223.7,1.8,40.4,182.4,4.5,1.6,78.3,406.1,5.2,9.9,9.0,2.2,21.1,4.2,39.0,0.4,1.5,1.9,2014
86,Boston College,13,26.2,10.4,18.7,55.6,129.3,1.0,48.8,254.7,5.2,2.4,67.5,384.0,5.7,5.6,12.1,1.4,19.1,4.5,38.3,0.2,0.8,1.0,2014
87,Illinois,13,25.9,22.1,36.2,61.1,249.8,1.9,31.8,117.5,3.7,1.2,67.9,367.2,5.4,10.4,6.5,2.2,19.1,6.1,51.5,0.8,0.9,1.7,2014
88,Virginia,12,25.8,20.7,36.0,57.4,236.4,1.5,37.6,137.8,3.7,1.1,73.6,374.2,5.1,11.4,7.3,1.8,20.5,6.5,57.8,0.7,1.3,2.0,2014
89,Oregon State,12,25.7,24.2,39.3,61.4,275.4,1.3,31.3,118.2,3.8,1.6,70.7,393.6,5.6,11.5,6.5,2.8,20.8,8.9,79.8,0.5,0.7,1.2,2014
90,Indiana,12,25.1,14.0,26.1,53.7,141.4,0.6,44.9,263.6,5.9,2.4,71.0,405.0,5.7,6.1,11.2,1.6,18.8,6.5,60.7,0.8,0.8,1.6,2014
91,Idaho,11,25.0,23.3,40.2,57.9,271.9,1.2,39.7,140.6,3.5,2.0,79.9,412.5,5.2,12.1,8.9,2.4,23.4,6.7,64.7,0.6,1.8,2.5,2014
92,San Diego State,13,25.0,14.1,26.8,52.4,178.4,0.8,39.8,216.1,5.4,2.0,66.6,394.5,5.9,8.1,9.9,1.4,19.4,5.9,53.4,0.5,1.2,1.7,2014
93,Army,12,24.9,4.2,8.8,47.6,62.3,0.3,55.3,296.3,5.4,2.8,64.1,358.6,5.6,2.1,15.1,0.9,18.1,4.1,34.8,0.9,0.2,1.1,2014
94,Tulsa,12,24.7,21.9,40.1,54.7,264.7,1.9,39.8,147.8,3.7,0.9,79.8,412.5,5.2,11.7,8.9,1.9,22.5,6.5,64.0,0.4,1.5,1.9,2014
95,New Mexico State,12,24.5,23.2,37.7,61.5,238.3,1.6,39.3,178.3,4.5,1.6,76.9,416.5,5.4,11.2,9.0,1.3,21.4,4.8,35.6,0.8,2.0,2.8,2014
96,Virginia Tech,13,24.1,20.8,35.1,59.4,217.4,1.5,39.0,147.9,3.8,0.9,74.1,365.3,4.9,10.0,8.1,2.0,20.1,7.5,59.2,0.8,1.2,2.0,2014
97,Florida Atlantic,12,24.0,17.2,30.4,56.4,199.5,1.5,36.9,163.6,4.4,1.2,67.3,363.1,5.4,9.0,8.3,1.0,18.3,4.3,39.5,1.1,0.4,1.5,2014
98,Purdue,12,23.8,19.4,36.2,53.7,187.4,1.3,33.5,157.2,4.7,1.4,69.7,344.6,4.9,8.3,7.9,1.0,17.3,4.9,41.9,0.7,1.3,2.0,2014
99,Iowa State,12,23.2,23.5,42.5,55.3,248.4,1.8,33.5,124.1,3.7,1.0,76.0,372.5,4.9,11.8,7.7,1.9,21.3,4.3,40.8,0.4,0.9,1.3,2014
100,Temple,12,23.1,17.8,33.6,53.1,200.7,1.1,30.8,107.8,3.5,0.9,64.3,308.4,4.8,7.8,6.3,1.3,15.3,6.5,54.9,0.9,1.3,2.3,2014
101,Florida International,12,23.0,14.3,26.9,52.9,168.0,1.3,40.7,125.2,3.1,0.9,67.6,293.2,4.3,6.8,8.3,1.2,16.3,7.0,56.1,1.0,0.8,1.8,2014
102,Northwestern,12,23.0,21.8,37.8,57.5,216.5,0.8,40.5,136.6,3.4,1.7,78.3,353.1,4.5,11.3,7.6,1.5,20.3,5.2,52.3,0.8,1.2,1.9,2014
103,Georgia State,12,22.7,22.0,37.2,59.2,279.0,1.9,32.4,97.8,3.0,1.1,69.6,376.8,5.4,11.5,7.0,1.8,20.3,5.3,43.4,1.0,1.5,2.5,2014
104,Akron,12,22.6,23.6,43.9,53.7,249.3,1.2,30.3,124.0,4.1,1.5,74.3,373.3,5.0,11.0,8.6,2.1,21.7,8.4,77.0,1.0,1.2,2.2,2014
105,South Alabama,13,22.5,16.8,31.7,52.9,197.0,1.3,41.3,179.0,4.3,1.2,73.0,376.0,5.2,9.5,9.9,1.5,20.9,6.2,55.2,0.8,1.3,2.2,2014
106,Miami (OH),12,22.3,18.8,39.0,48.3,277.8,1.9,29.8,102.6,3.4,0.9,68.8,380.3,5.5,12.3,6.2,2.0,20.5,7.9,61.6,0.8,0.8,1.7,2014
107,UNLV,13,21.9,20.6,38.3,53.8,257.8,1.2,35.8,129.2,3.6,1.4,74.2,387.0,5.2,11.4,7.0,2.2,20.5,6.2,55.1,0.3,1.7,2.0,2014
108,Troy,12,21.8,19.8,29.8,66.7,198.4,1.0,38.4,164.3,4.3,1.5,68.2,362.7,5.3,7.5,9.7,1.2,18.3,6.2,61.5,0.8,0.3,1.2,2014
109,Texas,13,21.4,18.7,32.2,58.1,199.9,1.1,36.5,137.4,3.8,1.4,68.6,337.3,4.9,8.8,7.7,1.3,17.8,5.9,51.1,1.1,0.8,1.9,2014
110,Wyoming,12,21.1,17.6,31.2,56.4,227.3,1.0,37.4,153.7,4.1,1.4,68.6,380.9,5.6,10.3,6.9,1.2,18.4,5.3,43.3,0.7,0.8,1.5,2014
111,Hawaii,13,20.9,17.6,35.9,49.0,214.6,1.2,40.5,149.8,3.7,1.2,76.5,364.4,4.8,9.2,8.5,1.8,19.5,6.2,50.0,1.0,1.1,2.1,2014
112,Michigan,12,20.9,15.8,27.2,58.0,170.2,0.8,35.4,162.8,4.6,1.4,62.6,333.0,5.3,8.7,8.4,1.4,18.5,3.5,31.8,0.7,1.5,2.2,2014
113,Penn State,13,20.6,21.2,38.2,55.5,233.4,1.0,34.7,101.9,2.9,1.0,72.9,335.3,4.6,10.5,6.5,2.2,19.2,5.8,46.2,0.8,1.2,2.0,2014
114,Ohio,12,20.5,16.8,31.3,53.9,206.2,0.9,39.2,164.1,4.2,1.3,70.4,370.3,5.3,8.6,8.8,2.0,19.4,6.0,54.0,1.2,0.8,1.9,2014
115,Louisiana-Monroe,12,20.1,26.4,44.1,59.9,279.9,1.3,30.3,69.5,2.3,0.8,74.3,349.4,4.7,12.3,4.8,1.3,18.4,4.4,35.4,0.8,0.6,1.4,2014
116,San Jose State,12,19.3,23.6,37.4,63.0,253.2,1.3,37.8,141.3,3.7,0.9,75.3,394.5,5.2,11.9,8.1,1.2,21.2,4.3,36.6,1.0,1.2,2.2,2014
117,Southern Mississippi,12,19.0,23.1,40.2,57.5,269.3,1.2,31.3,95.8,3.1,0.8,71.5,365.0,5.1,11.8,6.4,2.5,20.8,6.4,60.9,0.9,1.3,2.2,2014
118,Kansas,12,17.8,17.0,31.3,54.3,202.9,1.2,38.8,121.2,3.1,0.9,70.2,324.1,4.6,8.7,6.8,1.0,16.4,6.3,55.8,0.4,1.1,1.5,2014
119,South Florida,12,17.2,14.9,30.3,49.2,196.8,0.9,31.3,107.9,3.4,0.9,61.7,304.7,4.9,8.7,5.2,1.3,15.2,6.3,60.7,0.8,0.9,1.7,2014
120,Vanderbilt,12,17.2,15.0,29.8,50.4,179.1,1.1,31.9,109.3,3.4,0.6,61.7,288.3,4.7,7.8,6.5,1.8,16.1,6.1,52.5,0.8,1.6,2.4,2014
121,Syracuse,12,17.1,17.3,31.9,54.0,184.1,0.5,35.3,145.2,4.1,1.0,67.3,329.3,4.9,7.8,7.7,1.4,16.8,7.2,59.1,0.3,1.4,1.8,2014
122,UTSA,12,17.1,16.9,29.7,57.0,175.3,0.6,36.7,122.1,3.3,1.3,66.3,297.4,4.5,8.5,7.0,1.2,16.7,7.1,65.8,0.8,1.0,1.8,2014
123,Kent State,11,16.4,22.2,40.3,55.1,233.6,1.5,25.2,81.8,3.2,0.5,65.5,315.5,4.8,11.5,4.5,2.1,18.0,5.9,52.2,0.4,1.5,1.9,2014
124,Tulane,12,16.0,20.0,36.9,54.2,201.3,1.1,34.9,145.5,4.2,0.9,71.8,346.8,4.8,8.8,7.8,2.3,18.8,7.5,70.1,0.6,1.5,2.1,2014
125,Connecticut,12,15.5,15.4,28.5,54.1,169.3,1.0,32.9,108.5,3.3,0.7,61.4,277.8,4.5,7.3,5.8,1.8,28.6,6.2,60.6,1.3,1.0,2.3,2014
126,Eastern Michigan,12,15.2,13.9,26.7,52.2,151.8,1.1,38.3,137.8,3.6,0.8,64.9,289.6,4.5,6.6,8.2,1.0,15.8,5.8,49.8,1.6,0.9,2.5,2014
127,Wake Forest,12,14.8,18.8,32.1,58.4,176.3,1.0,31.9,39.9,1.3,0.3,64.0,216.3,3.4,8.5,4.3,1.6,14.3,5.0,47.8,0.6,1.2,1.8,2014
128,SMU,12,11.1,19.2,35.8,53.5,168.7,0.5,30.2,100.2,3.3,0.8,66.0,268.8,4.1,7.1,6.2,1.4,14.7,6.2,52.7,1.3,1.2,2.5,2014
1,Baylor,13,52.4,21.3,34.5,61.8,359.1,2.7,48.2,259.7,5.4,3.6,82.6,618.8,7.5,13.8,13.4,1.5,28.6,9.2,82.6,0.8,0.5,1.2,2013
2,Florida State,14,51.6,20.6,31.6,65.2,315.9,3.0,36.1,203.1,5.6,3.0,67.6,519.1,7.7,13.9,9.9,1.8,25.6,5.6,49.6,0.4,0.9,1.3,2013
3,Ohio State,14,45.5,17.0,26.3,64.7,203.3,2.7,45.4,308.6,6.8,3.2,71.6,511.9,7.1,9.0,15.4,1.4,25.8,5.2,45.6,0.7,0.6,1.4,2013
4,Oregon,13,45.5,19.7,31.2,63.2,291.5,2.5,43.7,273.5,6.3,3.2,74.8,565.0,7.5,12.6,13.2,1.0,26.8,8.2,70.2,0.9,0.5,1.4,2013
5,Texas A&M,13,44.2,26.1,37.6,69.3,353.3,3.1,35.8,185.1,5.2,2.5,73.4,538.4,7.3,15.7,10.4,1.3,27.4,6.2,53.1,0.6,1.0,1.6,2013
6,Fresno State,13,43.4,35.5,51.9,68.3,394.9,3.8,31.8,151.3,4.8,1.6,83.7,546.2,6.5,17.0,9.1,2.2,29.1,5.2,53.3,0.9,0.8,1.7,2013
7,Marshall,14,42.1,22.5,37.3,60.3,294.4,3.0,40.8,205.9,5.0,2.4,78.1,500.4,6.4,13.5,10.6,1.9,26.0,6.0,46.4,0.9,0.7,1.6,2013
8,Clemson,13,40.2,26.2,37.9,69.2,333.1,3.0,41.8,175.0,4.2,2.0,79.8,508.1,6.4,14.0,10.0,1.2,25.2,5.6,50.5,0.9,0.9,1.8,2013
9,East Carolina,13,40.2,30.5,43.5,70.3,328.1,2.6,35.6,140.1,3.9,2.4,79.1,468.2,5.9,16.5,8.1,2.0,26.6,5.3,44.9,0.5,0.8,1.2,2013
10,Arizona State,14,39.7,22.1,35.3,62.6,265.9,2.0,43.4,191.4,4.4,2.6,78.7,457.3,5.8,11.8,10.5,2.0,24.3,4.0,31.4,0.4,0.9,1.3,2013
11,Northern Illinois,14,39.6,18.6,29.9,62.4,222.6,2.1,46.8,297.2,6.4,2.8,76.6,519.8,6.8,9.5,15.4,1.2,26.1,5.4,46.0,0.6,0.6,1.2,2013
12,Auburn,14,39.5,12.4,20.4,60.7,173.0,1.4,52.0,328.4,6.3,3.4,72.4,501.4,6.9,6.4,16.4,1.1,23.9,5.0,40.6,0.8,0.6,1.4,2013
13,Missouri,14,39.1,19.1,32.4,58.8,252.9,2.2,42.0,237.9,5.7,2.5,74.4,490.7,6.6,11.1,11.4,1.9,24.5,5.1,38.8,0.6,0.6,1.1,2013
14,Oklahoma State,13,39.1,21.5,37.2,57.9,277.2,2.0,38.7,171.6,4.4,2.7,75.9,448.8,5.9,11.8,8.3,2.1,22.1,6.7,60.0,0.4,1.0,1.4,2013
15,Ball State,13,38.5,24.8,39.2,63.3,324.2,2.7,34.6,152.7,4.4,2.2,73.8,476.8,6.5,15.8,7.0,2.5,25.2,3.8,31.1,0.8,0.6,1.5,2013
16,Indiana,12,38.4,23.3,39.2,59.4,306.7,3.0,38.2,201.8,5.3,2.1,77.3,508.5,6.6,13.6,10.1,1.3,25.0,5.2,42.9,0.5,1.2,1.7,2013
17,Alabama,13,38.2,18.8,28.1,66.8,248.5,2.3,35.5,205.6,5.8,2.2,63.5,454.1,7.1,10.8,10.9,1.5,23.2,4.8,40.0,0.8,0.5,1.3,2013
18,Washington,13,37.9,20.8,31.8,65.4,260.4,1.9,46.9,238.9,5.1,2.7,78.7,499.3,6.3,11.4,12.0,1.2,24.5,8.1,71.7,0.6,0.6,1.2,2013
