Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO,year
127,SMU,12,45.7,15.3,25.8,59.0,240.7,2.3,45.3,261.5,5.8,3.1,71.1,502.2,7.1,8.9,12.8,1.4,23.1,6.6,67.1,0.4,0.8,1.3,2015
128,Kansas,12,46.1,22.3,33.5,66.4,293.7,2.0,47.1,267.2,5.7,3.1,80.6,560.8,7.0,11.6,12.3,1.8,28.5,4.4,38.4,0.8,0.8,1.5,2015
1,Ole Miss,13,16.0,18.5,30.9,59.7,192.1,0.9,39.5,136.9,3.5,0.7,70.4,329.0,4.7,9.1,8.2,1.2,18.4,6.0,53.5,0.8,1.7,2.5,2014
2,Stanford,13,16.4,18.8,33.1,57.0,177.9,0.9,34.1,104.5,3.1,0.9,67.2,282.4,4.2,9.0,6.5,1.4,16.8,6.2,53.8,0.3,0.9,1.2,2014
3,Clemson,13,16.7,14.9,29.8,50.0,157.4,0.9,34.8,103.4,3.0,0.8,64.7,260.8,4.0,6.2,6.6,1.4,14.2,6.1,46.2,0.9,0.9,1.8,2014
4,LSU,13,17.5,15.3,29.6,51.7,164.2,0.8,35.4,152.7,4.3,1.2,65.0,316.8,4.9,6.8,7.7,1.0,15.5,4.4,39.2,0.8,0.8,1.5,2014
5,Temple,12,17.5,18.0,30.7,58.7,186.9,0.8,42.3,160.2,3.8,1.0,73.0,347.1,4.8,8.4,9.3,1.8,19.4,6.2,59.7,1.6,0.9,2.5,2014
6,Alabama,14,18.4,19.1,35.2,54.4,226.0,1.4,32.3,102.4,3.2,0.4,67.5,328.4,4.9,10.1,5.8,0.9,16.7,4.4,36.9,0.6,0.8,1.4,2014
7,Penn State,13,18.6,16.5,31.2,53.0,178.2,0.8,34.1,100.5,2.9,1.1,65.3,278.7,4.3,7.4,6.1,1.2,14.6,6.9,60.6,0.4,1.2,1.6,2014
8,Texas Christian,13,19.0,16.6,34.2,48.5,233.0,1.3,39.1,108.8,2.8,0.7,73.3,341.8,4.7,9.2,6.6,1.0,16.8,5.5,50.0,1.1,2.0,3.1,2014
9,Arkansas,13,19.2,16.7,30.2,55.4,208.8,1.5,33.0,114.6,3.5,0.8,63.2,323.4,5.1,8.8,7.5,1.0,17.3,5.9,49.1,0.9,0.9,1.8,2014
10,UCF,13,19.2,18.7,33.9,55.1,194.2,1.3,32.9,104.3,3.2,0.8,66.8,298.5,4.5,7.9,7.5,1.9,17.3,8.8,79.8,0.8,1.4,2.2,2014
11,Memphis,13,19.5,20.3,38.0,53.4,228.0,1.1,35.8,121.5,3.4,1.2,73.8,349.5,4.7,10.8,6.3,1.8,18.8,6.5,64.4,1.1,1.3,2.4,2014
12,Utah State,14,19.7,18.9,34.9,54.1,225.4,1.1,39.9,130.6,3.3,1.1,74.8,356.1,4.8,9.4,7.7,1.9,19.1,7.9,67.4,0.8,1.4,2.1,2014
13,San Diego State,13,19.8,15.2,27.3,55.8,178.5,0.8,40.2,153.9,3.8,1.7,67.5,332.5,4.9,7.5,8.6,1.9,18.0,5.1,42.8,0.9,1.1,2.0,2014
14,Virginia Tech,13,20.2,14.1,29.5,47.7,199.0,1.0,37.2,144.8,3.9,1.2,66.8,343.8,5.1,8.1,7.3,1.2,16.6,7.0,59.1,0.8,0.9,1.7,2014
15,Houston,13,20.6,17.7,31.7,55.8,200.1,1.2,38.7,143.3,3.7,1.4,70.4,343.4,4.9,8.8,8.8,1.5,19.1,8.0,75.5,0.8,1.5,2.3,2014
16,Georgia,13,20.7,15.7,29.2,53.8,170.4,1.0,40.5,166.8,4.1,1.8,69.6,337.2,4.8,7.7,10.2,1.5,19.4,5.2,45.2,1.0,1.2,2.2,2014
17,Wisconsin,14,20.8,12.1,24.8,49.0,168.0,1.1,35.1,126.1,3.6,1.4,59.9,294.1,4.9,6.6,6.6,1.4,14.7,5.9,46.1,0.8,0.4,1.2,2014
18,Marshall,14,21.0,18.1,33.3,54.5,196.9,1.5,42.1,160.2,3.8,1.1,75.4,357.1,4.7,9.1,9.9,2.6,21.5,6.1,58.5,0.6,0.9,1.6,2014
19,Florida,12,21.1,19.0,35.8,53.1,213.6,1.3,36.7,116.2,3.2,0.8,72.4,329.8,4.6,9.5,6.5,2.0,18.0,7.3,58.3,1.2,1.3,2.5,2014
20,Missouri,14,21.1,20.6,33.9,60.8,212.7,1.3,37.9,133.7,3.5,1.3,71.8,346.4,4.8,9.8,8.1,1.8,19.6,5.9,47.6,0.9,0.9,1.8,2014
21,Boston College,13,21.3,20.3,32.5,62.4,229.8,1.5,30.6,93.8,3.1,1.1,63.2,323.5,5.1,10.4,5.9,1.0,17.3,5.8,44.9,0.4,0.7,1.1,2014
22,Michigan State,13,21.5,18.0,34.2,52.7,227.3,1.3,27.9,88.5,3.2,1.4,62.1,315.8,5.1,8.6,5.2,1.5,15.3,5.6,44.7,1.2,1.4,2.6,2014
23,Mississippi State,13,21.7,20.3,38.8,52.3,272.8,1.3,36.3,151.5,4.2,1.3,75.2,424.4,5.6,11.0,8.8,0.8,20.6,4.4,36.6,0.5,1.2,1.8,2014
24,Duke,13,21.8,18.1,32.4,55.8,206.8,1.1,43.4,192.9,4.4,1.5,75.8,399.7,5.3,9.1,11.7,1.2,21.9,6.8,60.4,0.8,0.8,1.6,2014
25,Louisville,13,21.8,17.0,31.5,53.9,199.6,1.1,33.4,109.9,3.3,0.9,64.9,309.5,4.8,8.5,5.7,1.2,15.3,5.0,43.6,0.3,2.0,2.3,2014
26,Ohio State,15,22.0,18.4,33.0,55.8,201.1,1.1,35.8,141.3,3.9,1.6,68.8,342.4,5.0,9.0,8.0,1.9,18.9,5.3,45.7,0.5,1.7,2.2,2014
27,Michigan,12,22.4,17.1,28.6,59.8,193.7,1.2,36.7,117.7,3.2,1.1,65.3,311.3,4.8,8.4,7.3,0.8,16.6,6.0,56.7,0.4,0.4,0.8,2014
28,Akron,12,23.1,18.8,33.5,56.0,222.5,1.7,38.1,153.6,4.0,1.2,71.6,376.1,5.3,10.5,8.2,2.6,21.3,7.9,70.8,0.9,1.1,2.0,2014
29,Kansas State,13,23.2,21.0,33.8,62.2,229.0,1.5,33.8,140.3,4.1,1.3,67.6,369.3,5.5,11.8,7.5,0.8,20.2,6.7,60.2,0.5,1.2,1.6,2014
30,Oregon,15,23.6,23.4,38.7,60.4,264.3,1.4,39.1,165.4,4.2,1.5,77.9,429.7,5.5,12.6,8.8,1.9,23.3,6.1,53.9,1.4,0.9,2.3,2014
31,Texas,13,23.8,19.0,32.2,58.9,184.2,1.0,42.2,164.3,3.9,1.3,74.5,348.5,4.7,8.6,9.4,1.3,19.3,5.5,50.4,0.5,1.2,1.7,2014
32,Virginia,12,24.1,18.2,32.9,55.2,232.5,1.6,35.9,120.7,3.4,0.9,68.8,353.2,5.1,9.8,6.9,2.1,18.8,7.3,59.3,1.2,1.3,2.4,2014
33,Air Force,13,24.2,18.4,33.4,55.1,258.4,1.5,35.4,136.9,3.9,1.3,68.8,395.3,5.7,11.1,7.0,1.1,19.2,4.5,42.5,0.6,0.8,1.4,2014
34,Minnesota,13,24.2,17.9,31.2,57.4,193.5,1.5,36.6,174.7,4.8,1.4,67.8,368.2,5.4,9.0,8.7,1.8,19.5,4.5,39.1,1.2,1.2,2.3,2014
35,Tennessee,13,24.2,15.5,29.0,53.3,196.2,1.2,39.6,168.4,4.3,1.8,68.6,364.6,5.3,8.5,9.2,1.1,18.8,6.0,47.7,0.6,1.2,1.8,2014
36,Miami (FL),13,24.3,17.6,30.5,57.7,192.2,1.1,38.3,137.5,3.6,1.6,68.8,329.6,4.8,8.4,8.5,2.2,19.2,5.5,49.7,1.0,0.8,1.8,2014
37,Syracuse,12,24.3,18.8,28.8,65.2,209.9,1.6,41.1,139.3,3.4,0.8,69.8,349.2,5.0,10.0,8.3,1.7,20.0,6.6,56.0,1.0,0.7,1.7,2014
38,Louisiana Tech,14,24.7,22.4,37.7,59.5,244.3,1.4,35.7,118.2,3.3,1.4,73.4,362.5,4.9,11.6,7.4,1.0,19.9,6.3,60.1,1.1,1.9,3.0,2014
39,Florida International,12,24.8,15.1,28.2,53.6,203.3,1.4,39.5,160.3,4.1,1.5,67.7,363.7,5.4,8.1,8.4,1.5,18.0,5.7,48.6,1.6,1.2,2.8,2014
40,Ohio,12,24.8,21.3,36.3,58.6,261.4,1.8,34.6,132.8,3.8,1.1,70.8,394.3,5.6,11.1,8.2,1.3,20.5,6.7,59.4,0.6,1.0,1.6,2014
41,Washington,14,24.8,24.5,38.5,63.6,286.6,1.9,37.8,124.1,3.3,1.0,76.3,410.6,5.4,13.4,7.2,1.9,22.6,6.1,52.7,1.1,0.9,2.1,2014
42,Utah,13,24.9,20.5,34.6,59.3,246.6,1.8,39.0,146.8,3.8,0.9,73.6,393.5,5.3,9.9,8.7,2.2,20.8,5.8,50.9,0.7,0.9,1.6,2014
43,Western Michigan,13,24.9,17.0,31.6,53.8,216.2,1.4,36.2,153.5,4.2,1.5,67.8,369.7,5.5,9.6,7.4,1.9,18.9,5.5,47.8,0.7,1.0,1.7,2014
44,Colorado State,13,25.1,18.3,33.3,55.0,224.2,1.1,40.6,200.3,4.9,2.1,73.9,424.5,5.7,10.6,10.1,1.8,22.5,4.6,46.1,0.5,1.0,1.5,2014
45,Central Michigan,13,25.2,19.2,32.5,58.9,232.5,1.8,32.8,122.9,3.8,1.2,65.3,355.5,5.4,10.6,6.7,1.8,19.1,5.5,47.8,0.6,1.1,1.7,2014
46,Northwestern,12,25.2,18.3,33.1,55.4,214.3,1.4,40.1,169.9,4.2,1.5,73.2,384.3,5.3,9.7,9.3,1.5,20.4,5.6,49.7,1.0,1.3,2.3,2014
47,USC,13,25.2,24.8,42.2,58.8,274.5,1.5,34.9,133.5,3.8,1.5,77.1,408.0,5.3,12.4,7.7,3.2,23.2,6.2,54.8,0.7,1.1,1.8,2014
48,Baylor,13,25.5,19.2,35.1,54.6,264.2,1.8,37.3,117.7,3.2,1.3,72.4,381.8,5.3,9.8,6.5,3.3,19.7,6.8,66.6,1.0,1.0,2.0,2014
49,Florida State,14,25.6,17.7,31.1,57.0,226.8,1.6,40.9,170.1,4.2,1.5,72.0,396.9,5.5,9.4,10.4,1.3,21.1,5.5,48.9,0.9,1.0,1.9,2014
50,Iowa,13,25.6,14.5,27.1,53.7,175.9,1.4,38.1,168.3,4.4,1.5,65.2,344.2,5.3,7.8,8.2,0.9,16.8,6.4,59.6,0.2,1.0,1.2,2014
51,Northern Illinois,14,25.6,18.9,32.6,58.1,228.5,1.3,38.6,163.1,4.2,1.7,71.2,391.6,5.5,11.1,8.8,1.9,21.7,4.5,37.7,0.7,1.0,1.7,2014
52,Georgia Tech,14,25.7,20.1,32.0,62.9,243.7,1.4,33.1,167.6,5.1,1.7,65.1,411.3,6.3,11.4,8.9,1.0,21.4,5.4,44.0,0.8,1.3,2.1,2014
53,East Carolina,13,25.8,21.8,38.5,56.8,255.5,1.5,33.6,111.8,3.3,1.2,72.1,367.3,5.1,11.5,6.1,2.6,20.2,7.1,64.2,0.4,1.1,1.5,2014
54,Georgia Southern,10,25.8,20.0,33.6,59.5,234.9,1.7,37.6,168.3,4.5,1.7,71.2,403.2,5.7,10.6,9.9,1.1,21.6,3.7,31.7,0.5,1.0,1.5,2014
55,Oklahoma,13,25.9,22.1,39.2,56.3,276.2,1.8,35.2,106.4,3.0,1.2,74.5,382.6,5.1,11.9,6.6,1.8,20.3,5.9,47.2,0.5,0.9,1.5,2014
56,UTSA,12,25.9,18.1,31.4,57.6,229.5,1.5,39.3,140.2,3.6,1.2,70.7,369.7,5.2,9.3,7.8,2.7,19.8,6.3,53.0,0.8,0.8,1.6,2014
57,Louisiana,13,26.0,22.2,34.1,65.0,263.6,1.5,35.0,142.2,4.1,1.6,69.1,405.8,5.9,11.2,6.8,1.5,19.5,4.6,35.8,0.8,0.5,1.3,2014
58,Louisiana-Monroe,12,26.3,16.3,28.1,58.2,189.9,1.3,42.3,183.3,4.3,1.8,70.3,373.3,5.3,7.8,9.8,1.3,18.9,6.3,56.8,0.4,0.9,1.3,2014
59,Pitt,13,26.3,15.3,28.6,53.5,198.9,1.3,35.8,160.8,4.5,2.0,64.4,359.8,5.6,8.6,9.1,1.2,18.9,6.0,48.8,0.3,0.8,1.1,2014
60,Nebraska,13,26.4,16.5,33.9,48.5,205.8,1.2,37.5,177.8,4.7,1.9,71.5,383.7,5.4,9.1,8.7,1.2,18.9,6.0,52.3,0.8,1.0,1.8,2014
61,South Alabama,13,26.4,16.6,29.7,56.0,212.8,1.5,41.6,186.1,4.5,1.7,71.3,398.9,5.6,8.5,9.8,2.3,20.6,6.1,56.2,1.2,0.5,1.6,2014
62,Wake Forest,12,26.4,17.6,29.0,60.6,186.6,1.0,41.8,182.7,4.4,1.7,70.8,369.3,5.2,7.8,9.5,1.9,19.3,5.7,45.2,1.1,0.5,1.6,2014
63,Auburn,13,26.7,18.7,32.4,57.7,230.1,1.7,37.9,168.8,4.5,1.7,70.3,398.8,5.7,10.1,9.2,2.8,22.1,4.3,35.5,0.4,1.7,2.1,2014
64,Boise State,14,26.8,20.0,34.9,57.4,232.9,1.3,36.9,142.6,3.9,1.7,71.7,375.4,5.2,10.6,6.4,1.4,30.2,5.4,44.4,0.6,1.6,2.2,2014
65,Hawaii,13,26.8,18.7,32.3,57.9,245.8,2.0,41.3,172.3,4.2,1.5,73.6,418.2,5.7,9.6,9.9,1.5,21.0,6.4,53.7,0.7,0.8,1.5,2014
66,North Carolina State,13,27.0,17.4,31.2,55.8,204.7,1.5,40.1,168.4,4.2,1.6,71.2,373.1,5.2,8.9,10.6,1.2,20.7,5.2,45.8,0.8,0.8,1.5,2014
67,South Florida,12,27.0,20.8,30.3,68.6,219.8,1.3,40.5,184.0,4.5,1.8,70.8,403.8,5.7,10.6,9.5,1.4,21.5,5.8,52.9,1.2,0.5,1.7,2014
68,Ball State,12,27.2,20.8,33.5,62.2,237.8,1.3,39.6,191.1,4.8,2.0,73.1,428.8,5.9,10.5,10.3,1.3,22.1,5.6,49.0,1.2,0.8,2.0,2014
69,Cincinnati,13,27.2,21.2,34.9,60.8,255.4,1.7,38.5,183.7,4.8,1.4,73.5,439.1,6.0,10.9,10.2,1.0,22.1,5.9,57.4,1.2,0.6,1.8,2014
70,Nevada,13,27.2,25.4,38.5,65.9,267.5,2.0,37.7,179.6,4.8,1.3,76.2,447.1,5.9,12.9,9.9,1.5,24.3,4.6,45.8,1.1,1.0,2.1,2014
71,Navy,13,27.3,19.0,29.2,65.2,205.2,1.7,40.2,198.6,4.9,1.4,69.3,403.8,5.8,9.2,11.7,0.5,21.5,4.4,41.5,0.4,1.0,1.4,2014
72,Brigham Young,13,27.5,24.5,42.2,57.9,269.7,1.9,37.2,121.9,3.3,1.5,79.4,391.6,4.9,12.6,6.7,2.4,21.7,6.8,60.2,0.9,1.1,2.0,2014
73,West Virginia,13,27.6,18.5,35.0,53.0,231.2,1.4,38.6,168.2,4.4,1.5,73.6,399.4,5.4,10.4,7.6,1.8,19.8,8.3,82.5,0.2,0.9,1.1,2014
74,Texas State,12,27.7,21.8,34.7,63.0,243.3,1.5,43.5,202.8,4.7,1.8,78.2,446.1,5.7,10.4,10.1,1.3,21.8,6.1,46.7,0.5,1.1,1.6,2014
75,Arizona State,13,27.9,20.7,34.8,59.4,259.7,1.7,39.3,157.4,4.0,1.3,74.2,417.1,5.6,11.2,7.7,1.2,20.1,7.0,61.2,1.0,1.1,2.1,2014
76,Texas A&M,13,28.1,18.6,33.2,56.1,234.8,1.5,43.2,216.0,5.0,1.8,76.3,450.8,5.9,10.7,10.7,1.8,23.2,5.9,48.0,0.6,0.4,1.0,2014
77,UCLA,13,28.1,23.5,38.2,61.6,250.6,1.7,38.8,147.9,3.8,1.5,77.1,398.5,5.2,11.6,8.5,2.5,22.7,5.7,51.1,0.4,0.8,1.2,2014
78,UTEP,13,28.1,12.8,24.7,51.7,191.2,1.5,33.8,176.8,5.2,2.0,58.5,368.1,6.3,7.3,8.1,0.8,16.2,5.5,43.8,0.8,0.8,1.6,2014
79,Arizona,14,28.2,24.9,38.1,65.4,281.2,2.0,41.4,169.9,4.1,1.4,79.6,451.1,5.7,13.4,8.6,2.1,24.1,8.9,77.6,0.9,0.9,1.9,2014
80,Tulane,12,28.4,18.3,31.4,58.4,229.9,1.5,37.3,157.9,4.2,1.3,68.7,387.8,5.6,9.8,8.8,1.9,20.5,6.3,58.6,0.9,1.4,2.3,2014
81,Rice,13,28.5,17.4,31.8,54.6,233.4,2.1,35.4,152.5,4.3,1.5,67.2,385.9,5.7,9.5,8.5,1.6,19.7,4.3,38.8,0.8,0.7,1.5,2014
82,Kent State,11,29.0,17.1,30.1,56.8,216.3,1.6,44.7,214.0,4.8,1.7,74.8,430.3,5.8,9.1,10.5,2.4,21.9,7.0,60.1,0.8,0.7,1.5,2014
83,Notre Dame,13,29.2,19.2,31.8,60.3,233.0,1.8,40.4,171.2,4.2,1.6,72.2,404.2,5.6,10.5,9.7,1.2,21.4,6.1,53.5,0.5,1.2,1.8,2014
84,Appalachian State,10,29.4,19.3,32.1,60.1,221.5,1.6,34.0,136.4,4.0,1.8,66.1,357.9,5.4,9.4,7.5,1.6,18.5,6.4,68.9,0.6,0.8,1.4,2014
85,San Jose State,12,29.4,11.2,20.1,55.6,117.7,0.5,44.8,239.6,5.4,2.9,64.8,357.3,5.5,5.3,12.1,0.8,18.3,4.9,38.0,0.8,0.5,1.3,2014
86,Connecticut,12,29.8,19.1,32.4,58.9,208.8,1.8,40.1,169.7,4.2,1.5,72.5,378.4,5.2,9.2,9.2,2.0,20.3,7.1,67.6,0.6,0.7,1.3,2014
87,North Texas,12,29.8,17.9,30.1,59.6,207.3,1.5,37.3,161.9,4.3,1.9,67.4,369.3,5.5,8.8,8.2,1.5,18.5,5.6,54.6,0.8,1.0,1.8,2014
88,UAB,12,29.9,17.0,32.0,53.1,231.0,2.0,39.6,174.8,4.4,1.5,71.6,405.8,5.7,9.4,9.4,1.6,20.4,5.3,46.2,0.8,0.8,1.6,2014
89,Maryland,13,30.2,19.5,35.1,55.5,234.3,1.5,44.9,201.9,4.5,1.8,80.0,436.2,5.5,10.1,10.6,1.7,22.4,6.3,52.8,1.0,0.7,1.7,2014
90,Rutgers,13,30.2,18.5,30.9,60.0,230.5,1.4,38.4,212.3,5.5,2.5,69.3,442.8,6.4,9.5,10.5,1.3,21.1,6.3,55.5,0.8,0.5,1.4,2014
91,South Carolina,13,30.4,18.6,30.0,62.1,220.5,1.2,39.5,212.2,5.4,2.2,69.5,432.7,6.2,10.6,10.2,1.6,22.5,6.2,56.6,0.6,0.8,1.5,2014
92,Arkansas State,13,30.5,18.3,31.5,58.0,216.0,1.4,43.5,205.2,4.7,2.6,75.0,421.2,5.6,8.3,11.2,1.9,21.5,7.0,61.0,0.9,1.2,2.2,2014
93,Toledo,13,30.5,22.5,37.0,60.9,291.7,2.8,33.2,116.2,3.5,1.0,70.2,407.9,5.8,13.3,6.8,1.7,21.8,4.8,42.1,0.3,0.8,1.1,2014
94,Oklahoma State,13,31.2,21.2,34.8,60.7,269.2,1.8,39.8,162.8,4.1,1.8,74.6,432.0,5.8,11.2,9.0,1.8,22.0,6.8,62.7,0.2,0.9,1.1,2014
95,Kentucky,12,31.3,18.1,31.4,57.6,215.8,1.8,42.6,191.2,4.5,1.7,74.0,406.9,5.5,10.4,10.6,1.5,22.5,4.8,41.6,0.7,1.3,1.9,2014
96,Buffalo,11,31.5,13.5,26.8,50.5,222.5,1.5,41.0,175.2,4.3,2.6,67.8,397.7,5.9,8.5,8.6,1.2,18.4,6.5,58.7,1.2,0.2,1.4,2014
97,Middle Tennessee State,12,31.5,21.6,35.2,61.4,269.7,2.2,42.1,182.6,4.3,1.6,77.3,452.3,5.9,11.8,10.1,1.4,23.3,5.8,52.8,0.6,1.1,1.7,2014
98,Oregon State,12,31.6,21.3,36.3,58.9,248.1,1.7,34.3,158.3,4.6,2.0,70.6,406.3,5.8,11.1,8.3,2.6,22.0,7.2,66.2,0.6,0.9,1.5,2014
99,Purdue,12,31.7,18.3,32.3,56.8,221.9,1.5,42.3,194.1,4.6,2.3,74.5,416.0,5.6,10.8,10.0,1.5,22.3,4.3,37.4,0.8,0.8,1.6,2014
100,Miami (OH),12,31.8,20.2,32.7,61.7,234.3,1.9,39.3,199.9,5.1,2.0,72.0,434.3,6.0,10.8,10.3,2.1,23.2,5.5,56.3,0.9,0.9,1.8,2014
101,Fresno State,14,32.4,17.4,28.8,60.3,254.1,2.3,43.9,201.9,4.6,1.7,72.7,456.0,6.3,9.9,9.1,1.0,19.9,7.8,64.6,0.8,0.6,1.4,2014
102,Indiana,12,32.8,22.6,36.7,61.6,251.1,2.0,37.5,182.7,4.9,1.8,74.2,433.8,5.8,11.3,9.2,1.9,22.3,4.7,41.2,0.3,1.1,1.4,2014
103,Wyoming,12,32.8,17.8,27.1,65.8,227.8,1.8,38.8,203.0,5.2,2.0,65.8,430.8,6.5,10.2,10.0,0.8,21.0,4.7,43.3,1.1,0.3,1.3,2014
104,Army,12,32.9,20.3,30.1,67.3,237.4,2.6,36.4,193.5,5.3,1.6,66.5,430.9,6.5,10.9,9.8,1.1,21.8,4.5,38.4,0.3,0.9,1.3,2014
105,Massachusetts,12,33.0,22.4,36.8,60.9,255.8,2.2,41.0,191.8,4.7,1.9,77.8,447.5,5.7,11.5,9.8,2.1,23.4,7.9,75.8,0.4,1.0,1.4,2014
106,Kansas,12,33.3,19.4,33.3,58.4,243.5,1.8,38.8,209.7,5.4,1.8,72.1,453.2,6.3,10.3,9.7,2.0,21.9,5.9,50.8,1.0,0.8,1.8,2014
107,Vanderbilt,12,33.3,17.9,28.8,62.1,218.3,1.6,41.5,183.8,4.4,1.9,70.3,402.1,5.7,10.0,10.4,1.6,21.9,6.4,51.3,0.6,0.5,1.1,2014
108,Bowling Green State,14,33.5,25.2,42.0,60.0,291.4,1.8,40.6,202.1,5.0,2.6,82.6,493.6,6.0,13.7,10.6,1.8,26.1,6.6,63.6,1.2,1.1,2.4,2014
109,Illinois,13,34.0,16.5,28.5,57.8,217.2,1.5,47.5,239.2,5.0,2.4,75.9,456.4,6.0,9.0,11.8,1.8,22.5,5.4,45.8,0.9,0.5,1.5,2014
110,Florida Atlantic,12,34.4,19.8,33.7,58.9,238.7,1.5,40.3,222.1,5.5,2.8,73.9,460.8,6.2,10.3,11.1,1.4,22.8,5.8,49.1,0.6,0.7,1.3,2014
111,Southern Mississippi,12,35.4,19.3,30.3,63.6,235.1,1.9,40.2,216.3,5.4,2.3,70.4,451.4,6.4,11.6,9.8,1.9,23.3,6.0,54.3,0.8,0.6,1.3,2014
112,New Mexico,12,35.9,18.0,29.8,60.3,249.1,1.5,46.4,268.4,5.8,3.3,76.3,517.5,6.8,11.1,13.0,1.5,25.6,4.9,39.8,0.7,0.9,1.6,2014
113,Troy,12,36.2,17.0,27.7,61.4,206.0,1.6,43.2,245.1,5.7,2.9,70.8,451.1,6.4,9.2,12.5,1.6,23.3,4.5,38.5,0.6,0.9,1.5,2014
114,Idaho,11,37.3,14.5,22.9,63.1,216.2,1.6,43.9,245.9,5.6,2.9,66.8,462.1,6.9,8.2,10.5,1.7,20.4,7.1,61.7,0.8,0.7,1.5,2014
115,UNLV,13,38.5,14.9,25.9,57.6,219.6,1.9,52.1,293.8,5.6,2.8,78.0,513.5,6.6,8.7,13.7,1.8,24.2,6.5,62.5,0.8,0.5,1.3,2014
116,Washington State,12,38.6,23.0,35.8,64.3,296.6,2.8,35.8,145.7,4.1,1.5,71.6,442.3,6.2,11.7,7.3,2.3,21.3,7.9,69.9,0.4,0.3,0.7,2014
117,Iowa State,12,38.8,23.3,37.6,62.1,282.7,1.7,43.3,246.0,5.7,2.9,80.9,528.7,6.5,12.5,13.0,1.8,27.3,6.6,55.0,0.5,0.8,1.3,2014
118,Old Dominion,11,38.9,17.9,26.2,68.4,213.5,2.1,47.8,241.9,5.1,2.6,74.0,455.5,6.2,9.7,14.1,0.8,24.6,5.3,48.2,1.0,0.4,1.4,2014
119,Colorado,12,39.0,20.3,33.9,59.7,255.4,2.9,36.4,204.8,5.6,1.8,70.3,460.2,6.5,10.8,9.0,2.7,22.4,7.2,68.8,0.7,0.3,0.9,2014
120,North Carolina,13,39.0,17.7,30.2,58.7,257.4,2.4,46.1,240.5,5.2,2.5,76.2,497.8,6.5,10.7,12.0,2.0,24.7,6.2,49.7,0.8,0.9,1.8,2014
121,New Mexico State,12,39.1,15.6,24.9,62.5,174.5,1.3,49.2,308.8,6.3,3.3,74.1,483.3,6.5,7.3,15.7,1.3,24.3,5.7,47.3,0.8,0.9,1.8,2014
122,Tulsa,12,39.3,19.3,31.2,62.0,272.1,2.4,38.9,214.7,5.5,2.5,70.1,486.8,6.9,10.3,9.6,1.9,21.8,5.9,53.6,0.6,0.7,1.3,2014
123,California,12,39.8,29.7,45.3,65.6,366.7,3.5,36.3,145.1,4.0,1.6,81.6,511.8,6.3,16.9,7.9,2.8,27.7,8.0,79.5,0.4,1.0,1.4,2014
124,Western Kentucky,13,39.9,20.5,32.3,63.6,289.2,2.5,44.3,220.8,5.0,2.5,76.6,509.9,6.7,13.1,11.4,1.6,26.1,6.5,57.2,0.8,1.0,1.8,2014
125,Eastern Michigan,12,40.9,20.6,31.2,66.0,273.5,2.3,42.8,225.3,5.3,2.8,73.9,498.8,6.7,10.9,10.8,1.4,23.2,6.6,57.9,0.5,0.5,1.0,2014
126,SMU,12,41.3,19.2,30.3,63.2,263.7,2.3,45.1,235.8,5.2,2.7,75.4,499.4,6.6,12.3,11.7,1.3,25.2,6.9,69.0,0.8,0.5,1.3,2014
127,Texas Tech,12,41.3,19.0,32.2,59.1,253.2,2.3,49.9,260.3,5.2,3.0,82.1,513.4,6.3,10.8,13.7,2.6,27.1,5.8,53.8,0.8,0.5,1.3,2014
128,Georgia State,12,43.3,18.5,27.2,68.1,193.7,1.9,48.5,303.4,6.3,3.4,75.7,497.1,6.6,9.6,15.2,0.8,25.6,5.5,50.5,0.4,0.3,0.7,2014
1,Florida State,14,12.1,15.9,30.5,52.0,156.6,1.0,38.3,124.8,3.3,0.5,68.8,281.4,4.1,7.9,7.2,1.5,16.6,5.1,45.9,0.6,1.9,2.5,2013
2,Louisville,13,12.2,14.5,28.7,50.7,170.8,0.6,31.2,80.9,2.6,0.8,59.9,251.7,4.2,7.2,5.4,1.5,14.1,3.3,30.5,0.8,1.2,2.1,2013
3,Michigan State,14,13.2,15.2,32.0,47.5,165.6,0.9,30.4,86.3,2.8,0.6,62.4,251.9,4.0,7.9,4.6,1.9,14.3,5.1,46.1,0.8,1.2,2.0,2013
4,Alabama,13,13.9,15.2,27.3,55.5,180.3,1.0,32.0,106.2,3.3,0.6,59.3,286.5,4.8,7.8,6.0,1.2,14.9,5.5,43.1,0.6,0.8,1.5,2013
5,Bowling Green State,14,15.9,16.6,30.1,55.0,170.9,0.8,33.4,150.6,4.5,1.1,63.6,321.4,5.1,8.4,7.4,1.4,17.2,4.8,37.3,0.9,0.6,1.5,2013
6,Wisconsin,13,16.3,17.5,32.7,53.4,202.5,1.2,31.8,102.5,3.2,0.6,64.5,305.1,4.7,8.7,5.8,1.5,16.1,5.1,32.1,0.8,0.7,1.5,2013
7,Utah State,14,17.1,18.6,34.5,54.0,224.1,1.2,38.2,106.7,2.8,0.6,72.7,330.9,4.6,9.2,7.1,2.1,18.4,5.7,52.4,0.9,1.2,2.1,2013
8,North Texas,13,17.8,20.5,35.0,58.7,227.8,1.2,32.8,120.5,3.7,0.8,67.8,348.3,5.1,9.4,6.5,1.8,17.8,4.7,41.7,1.2,1.4,2.6,2013
